i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3596,0,0,0,12,251658240
1,2.4139,0,0,0,19,398458880
2,3.3741,0,0,0,31,650117120
3,2.8172,0,0,0,31,650117120
4,1.1458,0,0,0,0,0
5,1.1783,0,0,0,31,650117120
6,0.1038,0,0,0,16,335544320
7,0.9906,0,0,0,20,419430400
8,1.3682,0,0,0,28,587202560
9,2.9967,0,0,0,30,629145600
10,1.1522,0,0,0,28,587202560
11,2.3169,0,0,0,30,629145600
12,1.0976,0,0,0,16,335544320
13,0.0588,0,0,0,0,0
14,0.08,0,0,0,0,0
15,0.0519,0,0,0,0,0
16,1.8065,0,0,0,13,272629760
17,0.0538,0,0,0,3,62914560
18,1.3424,0,0,0,16,335544320
19,0.0676,0,0,0,0,0
20,3.1194,0,0,0,24,503316480
21,0.9308,0,0,0,16,335544320
22,2.757,0,0,0,17,356515840
23,1.1566,0,0,0,1,20971520
24,5.9781,0,0,0,60,1258291200
25,0.0304,0,0,0,0,0
26,3.7535,1696,27,555745280,14,293601280
27,1.0642,0,0,0,14,293601280
28,3.3111,0,0,0,30,629145600
29,2.358,0,0,0,16,335544320
30,0.0621,0,0,0,0,0
31,3.1357,0,0,0,27,566231040
32,1.1571,0,0,0,8,167772160
33,0.0317,0,0,0,6,125829120
34,4.255,0,0,0,34,713031680
35,1.1553,0,0,0,0,0
36,0.7713,0,0,0,14,293601280
37,6.1979,1696,27,555745280,56,1174405120
38,0.4546,0,0,0,7,146800640
39,0.6968,0,0,0,0,0
40,0.6599,1712,27,560988160,4,83886080
41,1.1514,0,0,0,16,335544320
42,0.2504,0,0,0,0,0
43,1.1661,0,0,0,7,146800640
44,6.5074,1696,27,555745280,50,1048576000
45,1.1542,0,0,0,16,335544320
46,0.037,0,0,0,0,0
47,3.3195,0,0,0,29,608174080
48,2.0836,0,0,0,16,335544320
49,0.0626,0,0,0,0,0
50,1.1665,0,0,0,1,20971520
51,0.0837,0,0,0,0,0
52,5.4735,0,0,0,56,1174405120
53,3.0912,0,0,0,16,335544320
54,0.0672,0,0,0,0,0
55,1.1768,0,0,0,16,335544320
56,2.8625,0,0,0,19,398458880
57,1.1758,0,0,0,16,335544320
58,0.0413,0,0,0,0,0
59,0.0682,0,0,0,0,0
60,0.4334,0,0,0,1,20971520
61,3.1993,0,0,0,33,692060160
62,2.968,0,0,0,25,524288000
63,4.0331,0,0,0,30,629145600
64,1.1628,0,0,0,4,83886080
65,5.6657,0,0,0,57,1195376640
66,4.2428,0,0,0,31,650117120
67,0.6673,0,0,0,0,0
68,4.5064,1696,27,555745280,37,775946240
69,1.1796,0,0,0,16,335544320
70,1.1601,0,0,0,0,0
71,5.7897,0,0,0,61,1279262720
72,4.1197,576,9,188743680,30,629145600
73,3.2644,112,2,36700160,22,461373440
74,1.0278,0,0,0,3,62914560
75,0.0568,0,0,0,0,0
76,0.0521,0,0,0,0,0
77,1.0396,0,0,0,15,314572800
78,1.1696,0,0,0,14,293601280
79,8.1026,0,0,0,79,1656750080
80,1.7987,640,10,209715200,0,0
81,0.0372,0,0,0,1,20971520
82,1.3629,448,7,146800640,16,335544320
83,1.1411,0,0,0,5,104857600
84,1.1648,0,0,0,11,230686720
85,6.4723,0,0,0,60,1258291200
86,1.0347,0,0,0,16,335544320
87,0.0263,0,0,0,0,0
88,1.1606,0,0,0,0,0
89,5.0253,0,0,0,53,1111490560
90,1.0293,0,0,0,0,0
