i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3606,0,0,0,13,272629760
1,2.0923,0,0,0,5,104857600
2,3.2242,0,0,0,36,754974720
3,3.4128,0,0,0,31,650117120
4,1.161,0,0,0,0,0
5,1.078,0,0,0,31,650117120
6,0.0733,0,0,0,16,335544320
7,1.0641,0,0,0,8,167772160
8,2.7083,0,0,0,28,587202560
9,2.7584,0,0,0,30,629145600
10,1.1672,0,0,0,28,587202560
11,1.9135,0,0,0,30,629145600
12,1.1036,0,0,0,4,83886080
13,0.0643,0,0,0,12,251658240
14,0.0309,0,0,0,0,0
15,0.0417,0,0,0,0,0
16,2.4511,0,0,0,13,272629760
17,0.0539,0,0,0,3,62914560
18,1.4161,0,0,0,15,314572800
19,0.077,0,0,0,1,20971520
20,3.204,0,0,0,24,503316480
21,0.9427,0,0,0,7,146800640
22,2.7056,0,0,0,19,398458880
23,1.1617,0,0,0,2,41943040
24,5.8418,0,0,0,59,1237319680
25,0.0547,0,0,0,1,20971520
26,3.3862,1696,27,555745280,14,293601280
27,1.0659,0,0,0,16,335544320
28,2.8632,0,0,0,27,566231040
29,2.3311,0,0,0,16,335544320
30,0.0688,0,0,0,0,0
31,2.9468,0,0,0,27,566231040
32,1.159,0,0,0,2,41943040
33,0.0562,0,0,0,12,251658240
34,4.195,0,0,0,29,608174080
35,1.1639,0,0,0,0,0
36,0.7699,0,0,0,14,293601280
37,6.8072,1696,27,555745280,56,1174405120
38,0.6157,0,0,0,3,62914560
39,0.662,0,0,0,4,83886080
40,0.5836,1712,27,560988160,1,20971520
41,1.1663,0,0,0,17,356515840
42,0.2562,0,0,0,0,0
43,1.1564,0,0,0,14,293601280
44,5.923,1696,27,555745280,43,901775360
45,1.1633,0,0,0,16,335544320
46,0.056,0,0,0,0,0
47,3.3279,0,0,0,29,608174080
48,2.165,0,0,0,9,188743680
49,0.0738,0,0,0,7,146800640
50,1.1604,0,0,0,1,20971520
51,0.0644,0,0,0,0,0
52,5.2146,0,0,0,56,1174405120
53,2.7084,0,0,0,16,335544320
54,0.0679,0,0,0,0,0
55,1.1817,0,0,0,14,293601280
56,3.2936,0,0,0,21,440401920
57,1.1735,0,0,0,16,335544320
58,0.0515,0,0,0,0,0
59,0.0569,0,0,0,0,0
60,0.4269,0,0,0,1,20971520
61,2.8465,0,0,0,33,692060160
62,2.6775,0,0,0,25,524288000
63,3.6766,0,0,0,25,524288000
64,1.1614,0,0,0,0,0
65,6.1153,0,0,0,52,1090519040
66,4.1083,0,0,0,20,419430400
67,0.6753,0,0,0,3,62914560
68,4.9147,1696,27,555745280,37,775946240
69,1.1621,0,0,0,15,314572800
70,1.1579,0,0,0,10,209715200
71,5.4287,0,0,0,52,1090519040
72,4.038,576,9,188743680,27,566231040
73,3.2406,112,2,36700160,9,188743680
74,1.0315,0,0,0,3,62914560
75,0.0603,0,0,0,0,0
76,0.0299,0,0,0,0,0
77,1.0306,0,0,0,15,314572800
78,1.1614,0,0,0,14,293601280
79,6.8042,0,0,0,79,1656750080
80,1.6945,640,10,209715200,0,0
81,0.0393,0,0,0,1,20971520
82,1.3239,448,7,146800640,16,335544320
83,1.1438,0,0,0,5,104857600
84,1.1608,0,0,0,11,230686720
85,5.5945,0,0,0,60,1258291200
86,1.0377,0,0,0,14,293601280
87,0.0521,0,0,0,2,41943040
88,1.1514,0,0,0,0,0
89,5.0819,0,0,0,41,859832320
90,1.0285,0,0,0,1,20971520
91,1.5468,288,5,94371840,19,398458880
92,1.1422,0,0,0,12,251658240
93,4.9884,0,0,0,53,1111490560
94,1.6168,256,4,83886080,10,209715200
95,0.6306,1984,31,650117120,0,0
96,1.1568,0,0,0,16,335544320
97,0.0687,0,0,0,0,0
98,3.3511,0,0,0,20,419430400
99,2.4628,0,0,0,24,503316480
100,0.9331,0,0,0,1,20971520
101,0.0677,0,0,0,0,0
102,3.9538,0,0,0,43,901775360
103,1.1723,0,0,0,11,230686720
104,3.1716,784,13,256901120,20,419430400
105,1.1411,0,0,0,4,83886080
106,1.166,0,0,0,5,104857600
107,4.1591,1696,27,555745280,41,859832320
108,1.1731,0,0,0,15,314572800
109,4.0187,0,0,0,28,587202560
110,1.1623,0,0,0,7,146800640
111,4.7611,0,0,0,52,1090519040
112,2.2996,0,0,0,16,335544320
113,2.7671,1872,30,613416960,15,314572800
114,0.8367,0,0,0,16,335544320
115,1.1576,0,0,0,3,62914560
116,5.2715,0,0,0,53,1111490560
117,0.1794,0,0,0,0,0
118,4.7545,0,0,0,39,817889280
119,3.6987,0,0,0,29,608174080
120,1.1472,0,0,0,2,41943040
121,3.5841,0,0,0,49,1027604480
122,2.0095,0,0,0,14,293601280
123,3.9568,576,9,188743680,22,461373440
124,1.1448,0,0,0,2,41943040
125,5.0276,0,0,0,40,838860800
126,3.443,1984,31,650117120,23,482344960
127,1.1742,0,0,0,16,335544320
128,2.5653,0,0,0,15,314572800
129,1.1821,0,0,0,16,335544320
130,2.7149,0,0,0,16,335544320
131,1.2183,224,4,73400320,15,314572800
132,0.3284,0,0,0,1,20971520
133,3.8808,0,0,0,37,775946240
134,3.523,0,0,0,15,314572800
135,1.1672,0,0,0,15,314572800
136,3.8919,0,0,0,36,754974720
137,0.1116,0,0,0,12,251658240
138,0.9864,0,0,0,0,0
139,1.1589,0,0,0,14,293601280
140,1.1628,0,0,0,4,83886080
141,3.3609,0,0,0,36,754974720
142,0.7472,0,0,0,13,272629760
143,5.0799,0,0,0,48,1006632960
144,1.9384,0,0,0,7,146800640
145,3.7771,0,0,0,32,671088640
146,3.7298,0,0,0,27,566231040
147,3.7158,0,0,0,26,545259520
148,0.0518,0,0,0,2,41943040
149,2.1599,0,0,0,14,293601280
