i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3628,0,0,0,0,0
1,2.4367,0,0,0,0,0
2,2.607,0,0,0,0,0
3,2.5915,0,0,0,0,0
4,1.1636,0,0,0,0,0
5,0.3672,0,0,0,0,0
6,0.0484,0,0,0,0,0
7,4.6625,0,0,0,0,0
8,2.81,0,0,0,0,0
9,2.4448,0,0,0,0,0
10,1.1624,0,0,0,0,0
11,3.4255,0,0,0,0,0
12,1.1106,0,0,0,0,0
13,0.0441,0,0,0,0,0
14,0.0287,0,0,0,0,0
15,0.0443,0,0,0,0,0
16,2.3961,0,0,0,0,0
17,0.0528,0,0,0,0,0
18,2.4375,0,0,0,0,0
19,0.0709,0,0,0,0,0
20,2.7483,0,0,0,0,0
21,1.6576,0,0,0,0,0
22,3.3389,0,0,0,0,0
23,1.1632,0,0,0,0,0
24,3.988,0,0,0,0,0
25,0.0439,0,0,0,0,0
26,0.4662,1696,27,555745280,0,0
27,1.045,0,0,0,0,0
28,2.9448,0,0,0,0,0
29,2.132,0,0,0,0,0
30,0.0647,0,0,0,0,0
31,1.7076,0,0,0,0,0
32,1.1579,0,0,0,0,0
33,0.0406,0,0,0,0,0
34,3.5566,0,0,0,0,0
35,1.1643,0,0,0,0,0
36,0.7745,0,0,0,0,0
37,0.9356,1696,27,555745280,0,0
38,3.8429,0,0,0,0,0
39,1.2465,0,0,0,0,0
40,0.4118,1712,27,560988160,0,0
41,1.1596,0,0,0,0,0
42,0.2552,0,0,0,0,0
43,1.1578,0,0,0,0,0
44,0.3217,1696,27,555745280,0,0
45,4.8823,0,0,0,0,0
46,0.0435,0,0,0,0,0
47,1.6927,0,0,0,0,0
48,1.9135,0,0,0,0,0
49,0.0652,0,0,0,0,0
50,1.1621,0,0,0,0,0
51,0.0648,0,0,0,0,0
52,4.1813,0,0,0,0,0
53,1.5111,0,0,0,0,0
54,0.059,0,0,0,0,0
55,1.1569,0,0,0,0,0
56,2.6884,0,0,0,0,0
57,1.172,0,0,0,0,0
58,0.0476,0,0,0,0,0
59,0.061,0,0,0,0,0
60,0.4275,0,0,0,0,0
61,2.3075,0,0,0,0,0
62,2.2999,0,0,0,0,0
63,2.6314,0,0,0,0,0
64,1.1612,0,0,0,0,0
65,4.0465,0,0,0,0,0
66,2.5751,0,0,0,0,0
67,0.6684,0,0,0,0,0
68,0.9772,1696,27,555745280,0,0
69,3.5633,0,0,0,0,0
70,1.1644,0,0,0,0,0
71,3.9944,0,0,0,0,0
72,1.3178,576,9,188743680,0,0
73,1.3394,112,2,36700160,0,0
74,2.3649,0,0,0,0,0
75,0.0431,0,0,0,0,0
76,0.033,0,0,0,0,0
77,1.038,0,0,0,0,0
78,1.1639,0,0,0,0,0
79,6.0857,0,0,0,0,0
80,1.052,640,10,209715200,0,0
81,0.038,0,0,0,0,0
82,1.1275,448,7,146800640,0,0
83,1.1412,0,0,0,0,0
84,1.1595,0,0,0,0,0
85,4.4759,0,0,0,0,0
86,1.0352,0,0,0,0,0
87,0.0421,0,0,0,0,0
88,1.1583,0,0,0,0,0
89,4.1066,0,0,0,0,0
90,1.0304,0,0,0,0,0
91,1.0133,288,5,94371840,0,0
92,1.1468,0,0,0,0,0
93,3.8147,0,0,0,0,0
94,1.0434,256,4,83886080,0,0
95,0.4263,1984,31,650117120,0,0
96,1.1405,0,0,0,0,0
97,0.0635,0,0,0,0,0
98,1.8161,0,0,0,0,0
99,3.0403,0,0,0,0,0
100,0.9332,0,0,0,0,0
101,0.0647,0,0,0,0,0
102,3.446,0,0,0,0,0
103,1.1779,0,0,0,0,0
104,2.9494,784,13,256901120,0,0
105,1.147,0,0,0,0,0
106,1.1645,0,0,0,0,0
107,0.3897,1696,27,555745280,0,0
108,1.1569,0,0,0,0,0
109,5.0554,0,0,0,0,0
110,1.1638,0,0,0,0,0
111,3.1892,0,0,0,0,0
112,2.1302,0,0,0,0,0
113,1.8226,1872,30,613416960,0,0
114,0.8432,0,0,0,0,0
115,1.1641,0,0,0,0,0
116,4.3337,0,0,0,0,0
117,0.1775,0,0,0,0,0
118,3.6964,0,0,0,0,0
119,2.6043,0,0,0,0,0
120,1.1485,0,0,0,0,0
121,3.1278,0,0,0,0,0
122,2.1676,0,0,0,0,0
123,1.4141,576,9,188743680,0,0
124,1.3571,0,0,0,0,0
125,5.0562,0,0,0,0,0
126,0.4005,1984,31,650117120,0,0
127,1.159,0,0,0,0,0
128,2.5831,0,0,0,0,0
129,1.178,0,0,0,0,0
130,1.4666,0,0,0,0,0
131,1.0702,224,4,73400320,0,0
132,0.5259,0,0,0,0,0
133,3.4815,0,0,0,0,0
134,2.562,0,0,0,0,0
135,1.1643,0,0,0,0,0
136,3.0529,0,0,0,0,0
137,0.1061,0,0,0,0,0
138,1.2626,0,0,0,0,0
139,1.1564,0,0,0,0,0
140,1.1598,0,0,0,0,0
141,1.4065,0,0,0,0,0
142,0.7488,0,0,0,0,0
143,6.0576,0,0,0,0,0
144,2.0186,0,0,0,0,0
145,2.7975,0,0,0,0,0
146,2.4465,0,0,0,0,0
147,2.7688,0,0,0,0,0
148,0.0415,0,0,0,0,0
149,1.4819,0,0,0,0,0
