i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.356,0,0,0,0,0
1,1.1357,0,0,0,0,0
2,1.1764,0,0,0,0,0
3,1.1227,0,0,0,0,0
4,1.1717,0,0,0,0,0
5,0.0864,0,0,0,0,0
6,0.0651,0,0,0,0,0
7,0.9171,0,0,0,0,0
8,1.126,0,0,0,0,0
9,0.9918,0,0,0,0,0
10,1.1384,0,0,0,0,0
11,0.3739,0,0,0,0,0
12,1.0903,0,0,0,0,0
13,0.0562,0,0,0,0,0
14,0.0339,0,0,0,0,0
15,0.0455,0,0,0,0,0
16,0.1614,0,0,0,0,0
17,0.0529,0,0,0,0,0
18,1.1264,0,0,0,0,0
19,0.0844,0,0,0,0,0
20,0.1135,0,0,0,0,0
21,0.4614,0,0,0,0,0
22,1.1474,0,0,0,0,0
23,1.1627,0,0,0,0,0
24,1.1641,0,0,0,0,0
25,0.0576,0,0,0,0,0
26,1.0791,1696,27,492830720,0,0
27,1.0543,0,0,0,0,0
28,0.3481,0,0,0,0,0
29,1.1324,0,0,0,0,0
30,0.0771,0,0,0,0,0
31,0.311,0,0,0,0,0
32,1.144,0,0,0,0,0
33,0.059,0,0,0,0,0
34,1.1623,0,0,0,0,0
35,1.1711,0,0,0,0,0
36,0.7927,0,0,0,0,0
37,0.4617,1696,27,555745280,0,0
38,0.1352,0,0,0,0,0
39,0.0619,0,0,0,0,0
40,0.6334,1712,27,560988160,0,0
41,1.1429,0,0,0,0,0
42,0.2831,0,0,0,0,0
43,1.1455,0,0,0,0,0
44,1.0447,1696,27,555745280,0,0
45,1.1443,0,0,0,0,0
46,0.0559,0,0,0,0,0
47,0.315,0,0,0,0,0
48,0.876,0,0,0,0,0
49,0.0764,0,0,0,0,0
50,1.1544,0,0,0,0,0
51,0.0797,0,0,0,0,0
52,1.1555,0,0,0,0,0
53,0.06,0,0,0,0,0
54,0.0749,0,0,0,0,0
55,1.159,0,0,0,0,0
56,0.0772,0,0,0,0,0
57,1.1792,0,0,0,0,0
58,0.0687,0,0,0,0,0
59,0.0761,0,0,0,0,0
60,0.4318,0,0,0,0,0
61,0.1825,0,0,0,0,0
62,1.1321,0,0,0,0,0
63,1.1712,0,0,0,0,0
64,1.1809,0,0,0,0,0
65,1.1852,0,0,0,0,0
66,1.1714,0,0,0,0,0
67,0.6931,0,0,0,0,0
68,0.5583,1696,27,555745280,0,0
69,1.1619,0,0,0,0,0
70,1.179,0,0,0,0,0
71,1.1639,0,0,0,0,0
72,1.4168,576,9,167772160,0,0
73,1.3336,112,2,36700160,0,0
74,1.045,0,0,0,0,0
75,0.064,0,0,0,0,0
76,0.0347,0,0,0,0,0
77,1.0615,0,0,0,0,0
78,1.1735,0,0,0,0,0
79,0.3928,0,0,0,0,0
80,0.4936,640,10,209715200,0,0
81,0.0464,0,0,0,0,0
82,1.3426,448,7,146800640,0,0
83,1.1764,0,0,0,0,0
84,1.1824,0,0,0,0,0
85,0.1529,0,0,0,0,0
86,1.0326,0,0,0,0,0
87,0.0571,0,0,0,0,0
88,1.1729,0,0,0,0,0
89,1.1722,0,0,0,0,0
90,1.0465,0,0,0,0,0
91,0.7331,288,5,94371840,0,0
92,1.1435,0,0,0,0,0
93,0.4274,0,0,0,0,0
94,0.3093,256,4,83886080,0,0
95,0.992,1984,31,650117120,0,0
96,1.1619,0,0,0,0,0
97,0.08,0,0,0,0,0
98,0.4391,0,0,0,0,0
99,0.8497,0,0,0,0,0
100,0.9574,0,0,0,0,0
101,0.0802,0,0,0,0,0
102,0.1381,0,0,0,0,0
103,1.1565,0,0,0,0,0
104,0.5191,784,13,131072000,0,0
105,1.1397,0,0,0,0,0
106,1.171,0,0,0,0,0
107,0.547,1696,27,555745280,0,0
108,1.1771,0,0,0,0,0
109,1.1663,0,0,0,0,0
110,1.1738,0,0,0,0,0
111,0.3599,0,0,0,0,0
112,1.1539,0,0,0,0,0
113,0.7028,1872,30,613416960,0,0
114,0.8373,0,0,0,0,0
115,1.1901,0,0,0,0,0
116,1.1895,0,0,0,0,0
117,0.2037,0,0,0,0,0
118,1.1419,0,0,0,0,0
119,1.1709,0,0,0,0,0
120,1.1667,0,0,0,0,0
121,0.2547,0,0,0,0,0
122,1.0822,0,0,0,0,0
123,1.4331,576,9,188743680,0,0
124,1.1782,0,0,0,0,0
125,1.1609,0,0,0,0,0
126,0.7995,1984,31,650117120,0,0
127,1.1667,0,0,0,0,0
128,0.0565,0,0,0,0,0
129,1.1585,0,0,0,0,0
130,0.0547,0,0,0,0,0
131,1.1955,224,4,73400320,0,0
132,0.3529,0,0,0,0,0
133,1.1541,0,0,0,0,0
134,1.1655,0,0,0,0,0
135,1.1745,0,0,0,0,0
136,0.1749,0,0,0,0,0
137,0.1029,0,0,0,0,0
138,0.0539,0,0,0,0,0
139,1.1479,0,0,0,0,0
140,1.1886,0,0,0,0,0
141,1.177,0,0,0,0,0
142,0.7647,0,0,0,0,0
143,0.2629,0,0,0,0,0
144,0.953,0,0,0,0,0
145,1.1814,0,0,0,0,0
146,0.995,0,0,0,0,0
147,1.1603,0,0,0,0,0
148,0.0598,0,0,0,0,0
149,0.0651,0,0,0,0,0
