i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3629,0,0,0,9,188743680
1,2.4313,0,0,0,22,461373440
2,3.5024,0,0,0,31,650117120
3,3.3028,0,0,0,31,650117120
4,1.1419,0,0,0,0,0
5,1.3407,0,0,0,49,1027604480
6,0.0581,0,0,0,2,41943040
7,0.9222,0,0,0,16,335544320
8,2.8421,0,0,0,28,587202560
9,1.2241,0,0,0,30,608174080
10,1.1374,0,0,0,11,230686720
11,3.8981,0,0,0,47,985661440
12,1.0973,0,0,0,5,104857600
13,0.0547,0,0,0,7,146800640
14,0.0383,0,0,0,1,20971520
15,0.0531,0,0,0,0,0
16,3.0655,0,0,0,16,335544320
17,0.0645,0,0,0,3,62914560
18,1.3968,0,0,0,16,335544320
19,0.0764,0,0,0,0,0
20,3.408,0,0,0,24,503316480
21,1.0038,0,0,0,16,335544320
22,2.8825,0,0,0,17,356515840
23,1.149,0,0,0,1,20971520
24,6.2162,0,0,0,60,1258291200
25,0.0408,0,0,0,0,0
26,5.2275,1696,27,555745280,14,293601280
27,1.0562,0,0,0,16,41943040
28,9.8757,0,0,0,28,587202560
29,2.583,0,0,0,16,335544320
30,0.0634,0,0,0,0,0
31,3.1638,0,0,0,27,566231040
32,1.1472,0,0,0,14,293601280
33,0.0305,0,0,0,0,0
34,4.2422,0,0,0,34,713031680
35,1.1509,0,0,0,14,293601280
36,0.7828,0,0,0,15,314572800
37,5.6276,1696,27,555745280,41,859832320
38,0.125,0,0,0,7,146800640
39,0.652,0,0,0,0,0
40,0.6579,1712,27,498073600,4,83886080
41,1.1447,0,0,0,16,335544320
42,0.2509,0,0,0,0,0
43,1.1498,0,0,0,5,104857600
44,8.2849,1696,27,555745280,52,1090519040
45,1.1657,0,0,0,16,335544320
46,0.0362,0,0,0,0,0
47,10.6643,0,0,0,29,608174080
48,2.1721,0,0,0,16,335544320
49,0.0636,0,0,0,0,0
50,1.1525,0,0,0,1,20971520
51,0.0831,0,0,0,0,0
52,5.5477,0,0,0,56,1174405120
53,2.903,0,0,0,16,335544320
