i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3723,0,0,0,13,272629760
1,1.2933,0,0,0,18,377487360
2,3.3341,0,0,0,31,650117120
3,2.8678,0,0,0,31,650117120
4,2.6631,0,0,0,30,629145600
5,1.5288,0,0,0,15,314572800
6,0.069,0,0,0,1,20971520
7,1.9109,0,0,0,21,440401920
8,2.908,0,0,0,28,587202560
9,2.5851,0,0,0,30,629145600
10,1.1488,0,0,0,28,587202560
11,0.6238,0,0,0,30,629145600
12,1.0899,0,0,0,16,335544320
13,0.0303,0,0,0,0,0
14,0.0293,0,0,0,0,0
15,0.0432,0,0,0,0,0
16,1.6844,0,0,0,13,272629760
17,0.0552,0,0,0,3,62914560
18,1.2804,0,0,0,16,335544320
19,0.104,0,0,0,0,0
20,2.613,0,0,0,24,503316480
21,0.8943,0,0,0,16,335544320
22,2.5589,0,0,0,17,356515840
23,1.4135,0,0,0,8,167772160
24,5.3783,0,0,0,53,1111490560
25,0.0294,0,0,0,0,0
26,3.7969,1696,27,555745280,14,293601280
27,1.0671,0,0,0,16,335544320
28,2.6809,0,0,0,28,587202560
29,2.3671,0,0,0,16,335544320
30,0.1067,0,0,0,0,0
31,3.1442,0,0,0,27,566231040
32,1.5656,0,0,0,16,335544320
33,2.6774,0,0,0,16,335544320
34,1.1874,0,0,0,16,335544320
35,3.5979,0,0,0,34,713031680
36,2.2433,0,0,0,22,461373440
37,2.2718,1696,27,555745280,10,209715200
38,0.1252,0,0,0,7,146800640
39,0.6724,0,0,0,0,0
40,0.679,1712,27,560988160,4,83886080
41,1.1482,0,0,0,16,335544320
42,0.805,0,0,0,0,0
43,1.7942,0,0,0,17,356515840
44,5.5853,1696,27,555745280,40,838860800
45,1.1635,0,0,0,16,335544320
46,0.0369,0,0,0,0,0
47,3.2324,0,0,0,29,608174080
48,2.0513,0,0,0,16,335544320
49,0.1004,0,0,0,0,0
50,1.4148,0,0,0,8,167772160
51,0.1656,0,0,0,3,62914560
52,4.8114,0,0,0,46,964689920
53,3.0263,0,0,0,16,335544320
54,0.0668,0,0,0,0,0
55,1.1715,0,0,0,16,335544320
56,2.5431,0,0,0,19,398458880
57,1.1955,0,0,0,16,335544320
58,0.2296,0,0,0,0,0
59,0.1792,0,0,0,1,20971520
60,0.4832,0,0,0,2,41943040
61,3.2595,0,0,0,39,817889280
62,2.2442,0,0,0,17,356515840
63,4.302,0,0,0,30,629145600
64,3.0815,0,0,0,28,587202560
65,3.972,0,0,0,32,671088640
66,4.2378,0,0,0,31,650117120
67,1.1735,0,0,0,5,104857600
68,4.3879,1696,27,555745280,32,671088640
69,1.1588,0,0,0,16,335544320
70,2.4976,0,0,0,19,398458880
71,4.2026,0,0,0,42,880803840
72,3.8476,576,9,188743680,30,629145600
73,3.1171,112,2,36700160,22,461373440
74,1.2601,0,0,0,3,62914560
75,0.1448,0,0,0,2,41943040
76,0.034,0,0,0,0,0
77,1.2329,0,0,0,12,251658240
78,1.4146,0,0,0,18,377487360
79,6.4156,0,0,0,76,1593835520
80,1.8784,640,10,209715200,0,0
81,0.0695,0,0,0,1,20971520
82,1.4174,448,7,146800640,16,335544320
83,1.32,0,0,0,7,146800640
84,1.3296,0,0,0,18,377487360
85,4.7373,0,0,0,50,1048576000
86,1.0279,0,0,0,16,335544320
87,0.0271,0,0,0,0,0
88,2.3559,0,0,0,20,419430400
89,3.3099,0,0,0,32,671088640
90,1.4994,0,0,0,11,230686720
91,2.9713,288,5,94371840,29,608174080
92,1.4013,0,0,0,21,440401920
93,3.4294,0,0,0,33,692060160
94,1.737,256,4,83886080,0,0
95,1.1976,1984,31,650117120,0,0
96,1.1716,0,0,0,16,335544320
97,0.2152,0,0,0,0,0
98,2.6934,0,0,0,30,629145600
99,2.15,0,0,0,17,356515840
100,1.0975,0,0,0,1,20971520
101,0.5724,0,0,0,8,167772160
102,3.7479,0,0,0,35,734003200
103,1.1584,0,0,0,16,335544320
104,3.3596,784,13,256901120,19,398458880
105,1.1781,0,0,0,16,335544320
106,1.8638,0,0,0,8,167772160
107,4.5395,1696,27,555745280,37,775946240
108,1.1858,0,0,0,16,335544320
109,3.8303,0,0,0,26,545259520
110,1.3228,0,0,0,16,335544320
111,3.8699,0,0,0,48,1006632960
112,2.418,0,0,0,16,335544320
113,3.0762,1872,30,613416960,15,314572800
114,0.8659,0,0,0,16,335544320
115,1.2797,0,0,0,7,146800640
116,4.1091,0,0,0,49,1027604480
117,0.4745,0,0,0,0,0
118,3.7891,0,0,0,39,817889280
119,3.4643,0,0,0,30,629145600
120,1.2851,0,0,0,11,230686720
121,3.1519,0,0,0,43,901775360
122,1.8491,0,0,0,16,335544320
123,3.9828,576,9,188743680,29,608174080
124,1.1483,0,0,0,11,230686720
125,4.1347,0,0,0,41,859832320
126,2.9192,1984,31,650117120,13,272629760
127,1.1801,0,0,0,16,335544320
128,2.2118,0,0,0,15,314572800
129,1.1773,0,0,0,16,335544320
130,2.6228,0,0,0,16,335544320
131,1.2001,224,4,73400320,16,335544320
132,0.4091,0,0,0,0,0
133,3.6508,0,0,0,37,775946240
134,3.6097,0,0,0,31,650117120
135,1.677,0,0,0,22,461373440
136,2.7478,0,0,0,31,650117120
137,0.1449,0,0,0,6,125829120
138,1.092,0,0,0,0,0
139,1.1537,0,0,0,16,335544320
140,1.2568,0,0,0,4,83886080
141,3.8624,0,0,0,52,1090519040
142,0.8107,0,0,0,9,188743680
143,4.0928,0,0,0,46,964689920
144,1.8211,0,0,0,16,335544320
145,3.1158,0,0,0,27,566231040
146,3.2435,0,0,0,30,629145600
147,3.3693,0,0,0,28,587202560
148,0.0911,0,0,0,0,0
149,2.2375,0,0,0,14,293601280
