i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.6767,0,0,0,15,314572800
1,2.4582,0,0,0,16,335544320
2,3.3053,0,0,0,31,650117120
3,3.3998,0,0,0,31,650117120
4,1.1861,0,0,0,4,83886080
5,1.3988,0,0,0,42,880803840
6,0.0524,0,0,0,5,104857600
7,0.9797,0,0,0,16,335544320
8,1.3976,0,0,0,28,587202560
9,2.6202,0,0,0,30,629145600
10,1.1812,0,0,0,17,356515840
11,2.3876,0,0,0,41,859832320
12,1.126,0,0,0,16,335544320
13,0.1907,0,0,0,6,125829120
14,0.03,0,0,0,0,0
15,0.0418,0,0,0,0,0
16,1.7986,0,0,0,7,146800640
17,0.0541,0,0,0,3,62914560
18,1.3604,0,0,0,16,335544320
19,0.1612,0,0,0,1,20971520
20,1.9731,0,0,0,23,482344960
21,0.9408,0,0,0,16,335544320
22,2.6464,0,0,0,17,356515840
23,1.2029,0,0,0,5,104857600
24,5.6586,0,0,0,56,1174405120
25,0.1623,0,0,0,2,41943040
26,3.2363,1696,27,555745280,12,251658240
27,1.0433,0,0,0,16,335544320
28,3.2191,0,0,0,28,587202560
29,2.5293,0,0,0,16,335544320
30,0.145,0,0,0,1,20971520
31,3.0358,0,0,0,26,545259520
32,1.1734,0,0,0,7,146800640
33,0.0566,0,0,0,8,167772160
34,4.196,0,0,0,33,692060160
35,1.1856,0,0,0,4,83886080
36,0.7656,0,0,0,16,335544320
37,6.7072,1696,27,555745280,50,1048576000
38,0.1204,0,0,0,7,146800640
39,0.6483,0,0,0,0,0
40,0.7157,1712,27,560988160,4,83886080
41,1.1535,0,0,0,16,335544320
42,0.2817,0,0,0,3,62914560
43,1.1556,0,0,0,0,0
44,6.1448,1696,27,555745280,54,1132462080
45,1.149,0,0,0,16,335544320
46,0.1568,0,0,0,1,20971520
47,3.2593,0,0,0,28,587202560
48,2.1255,0,0,0,16,335544320
49,0.1563,0,0,0,1,20971520
50,1.1505,0,0,0,4,83886080
51,0.0645,0,0,0,0,0
52,5.2133,0,0,0,52,1090519040
53,2.8773,0,0,0,15,314572800
54,0.0709,0,0,0,1,20971520
55,1.1551,0,0,0,16,335544320
56,2.9823,0,0,0,19,398458880
57,1.1761,0,0,0,16,335544320
58,0.1362,0,0,0,1,20971520
59,0.0587,0,0,0,1,20971520
60,0.4233,0,0,0,2,41943040
61,3.3967,0,0,0,34,713031680
62,2.5544,0,0,0,21,440401920
63,3.9616,0,0,0,30,629145600
64,1.1851,0,0,0,5,104857600
65,5.7572,0,0,0,56,1174405120
66,4.2342,0,0,0,31,650117120
67,0.6962,0,0,0,3,62914560
68,3.4494,1696,27,555745280,32,671088640
69,2.7112,0,0,0,18,377487360
70,1.1941,0,0,0,4,83886080
71,5.8177,0,0,0,57,1195376640
72,4.2896,576,9,188743680,30,629145600
73,4.0831,112,2,36700160,22,461373440
74,1.0759,0,0,0,7,146800640
75,0.0368,0,0,0,0,0
76,0.0243,0,0,0,0,0
77,1.0369,0,0,0,14,293601280
78,1.1934,0,0,0,9,188743680
79,8.1502,0,0,0,81,1698693120
80,2.3994,640,10,209715200,0,0
81,0.0394,0,0,0,1,20971520
82,1.3881,448,7,146800640,16,335544320
83,1.1921,0,0,0,9,188743680
84,1.1632,0,0,0,8,167772160
85,6.3609,0,0,0,59,1237319680
86,1.0415,0,0,0,16,335544320
87,0.059,0,0,0,0,0
88,1.16,0,0,0,5,104857600
89,5.033,0,0,0,48,1006632960
90,1.0601,0,0,0,4,83886080
91,4.9461,288,5,94371840,44,922746880
92,1.1688,0,0,0,6,125829120
93,3.5576,0,0,0,40,838860800
94,2.0566,256,4,83886080,0,0
95,0.9036,1984,31,650117120,0,0
96,1.1587,0,0,0,16,335544320
97,0.161,0,0,0,1,20971520
