i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3592,0,0,0,9,188743680
1,2.5341,0,0,0,22,461373440
2,3.4989,0,0,0,31,650117120
3,3.0986,0,0,0,31,650117120
4,1.1557,0,0,0,0,0
5,1.2469,0,0,0,31,650117120
6,0.0432,0,0,0,0,0
7,1.095,0,0,0,36,754974720
8,1.3689,0,0,0,28,587202560
9,2.834,0,0,0,30,629145600
10,1.1535,0,0,0,28,587202560
11,2.8156,0,0,0,30,629145600
12,1.0974,0,0,0,16,335544320
13,0.0265,0,0,0,0,0
14,0.0275,0,0,0,0,0
15,0.0416,0,0,0,0,0
16,2.8179,0,0,0,13,272629760
17,0.0539,0,0,0,3,62914560
18,1.4155,0,0,0,16,335544320
19,0.0664,0,0,0,0,0
20,3.5362,0,0,0,24,503316480
21,1.0085,0,0,0,16,335544320
22,2.8742,0,0,0,17,356515840
23,1.15,0,0,0,1,20971520
24,6.6675,0,0,0,60,1258291200
25,0.0251,0,0,0,0,0
26,3.4989,1696,27,555745280,14,293601280
27,1.0499,0,0,0,16,335544320
28,3.716,0,0,0,28,587202560
29,2.6411,0,0,0,16,335544320
30,0.059,0,0,0,0,0
31,3.5976,0,0,0,27,566231040
32,1.154,0,0,0,3,62914560
33,0.038,0,0,0,0,0
34,5.044,0,0,0,45,943718400
35,1.1541,0,0,0,0,0
36,0.7711,0,0,0,14,293601280
37,7.3932,1696,27,555745280,56,1174405120
38,0.6771,0,0,0,7,146800640
39,0.7836,0,0,0,0,0
40,0.5098,1712,27,560988160,4,83886080
41,1.1484,0,0,0,16,335544320
42,0.2494,0,0,0,0,0
43,1.1523,0,0,0,0,0
44,7.2753,1696,27,555745280,57,1195376640
45,1.155,0,0,0,16,335544320
46,0.0343,0,0,0,0,0
47,3.9013,0,0,0,29,608174080
48,2.2771,0,0,0,16,335544320
49,0.0591,0,0,0,0,0
50,1.1532,0,0,0,1,20971520
51,0.0642,0,0,0,0,0
52,6.0686,0,0,0,56,1174405120
53,2.8821,0,0,0,16,335544320
54,0.0674,0,0,0,0,0
55,1.1707,0,0,0,16,335544320
56,3.4388,0,0,0,19,398458880
57,1.1673,0,0,0,16,335544320
58,0.0408,0,0,0,0,0
59,0.0591,0,0,0,0,0
60,0.4289,0,0,0,0,0
61,3.6067,0,0,0,34,713031680
62,3.3646,0,0,0,25,524288000
63,4.3822,0,0,0,30,629145600
64,1.1528,0,0,0,0,0
65,6.8451,0,0,0,61,1279262720
66,4.4922,0,0,0,31,650117120
67,0.6631,0,0,0,0,0
68,5.5244,1696,27,555745280,37,775946240
69,1.1602,0,0,0,16,335544320
70,1.1532,0,0,0,0,0
71,6.695,0,0,0,61,1279262720
72,4.5205,576,9,188743680,30,629145600
73,3.5225,112,2,36700160,22,461373440
74,1.0218,0,0,0,3,62914560
75,0.0482,0,0,0,0,0
76,0.0285,0,0,0,0,0
77,1.0314,0,0,0,15,314572800
78,1.1587,0,0,0,13,272629760
79,7.787,0,0,0,80,1677721600
80,2.084,640,10,209715200,0,0
81,0.0387,0,0,0,1,20971520
82,1.3089,448,7,146800640,16,335544320
83,1.1334,0,0,0,3,62914560
84,1.1573,0,0,0,13,272629760
85,7.3512,0,0,0,60,1258291200
86,1.0334,0,0,0,16,335544320
87,0.0243,0,0,0,0,0
88,1.1521,0,0,0,0,0
89,5.9926,0,0,0,53,1111490560
90,1.021,0,0,0,0,0
91,1.6862,288,5,94371840,19,398458880
92,1.1374,0,0,0,6,125829120
