i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3573,0,0,0,0,0
1,1.1541,0,0,0,0,0
2,1.1906,0,0,0,0,0
3,1.1671,0,0,0,0,0
4,1.1783,0,0,0,0,0
5,0.0803,0,0,0,0,0
6,0.0493,0,0,0,0,0
7,0.9135,0,0,0,0,0
8,1.169,0,0,0,0,0
9,1.0064,0,0,0,0,0
10,1.1872,0,0,0,0,0
11,0.3733,0,0,0,0,0
12,1.1026,0,0,0,0,0
13,0.0473,0,0,0,0,0
14,0.0294,0,0,0,0,0
15,0.0467,0,0,0,0,0
16,0.1217,0,0,0,0,0
17,0.0494,0,0,0,0,0
18,1.1424,0,0,0,0,0
19,0.0808,0,0,0,0,0
20,0.109,0,0,0,0,0
21,0.4803,0,0,0,0,0
22,1.1491,0,0,0,0,0
23,1.1803,0,0,0,0,0
24,1.1812,0,0,0,0,0
25,0.0453,0,0,0,0,0
26,1.0865,1696,27,555745280,0,0
27,1.0608,0,0,0,0,0
28,0.3362,0,0,0,0,0
29,1.1493,0,0,0,0,0
30,0.0729,0,0,0,0,0
31,0.3221,0,0,0,0,0
32,1.1659,0,0,0,0,0
33,0.0436,0,0,0,0,0
34,1.1812,0,0,0,0,0
35,1.1933,0,0,0,0,0
36,0.8108,0,0,0,0,0
37,0.5957,1696,27,555745280,0,0
38,0.1328,0,0,0,0,0
39,0.0432,0,0,0,0,0
40,0.682,1712,27,560988160,0,0
41,1.1615,0,0,0,0,0
42,0.2747,0,0,0,0,0
43,1.1669,0,0,0,0,0
44,0.9019,1696,27,555745280,0,0
45,1.1481,0,0,0,0,0
46,0.0514,0,0,0,0,0
47,0.3106,0,0,0,0,0
48,0.8891,0,0,0,0,0
49,0.0743,0,0,0,0,0
50,1.1833,0,0,0,0,0
51,0.0743,0,0,0,0,0
52,1.1761,0,0,0,0,0
53,0.0519,0,0,0,0,0
54,0.0706,0,0,0,0,0
55,1.1828,0,0,0,0,0
56,0.0736,0,0,0,0,0
57,1.1922,0,0,0,0,0
58,0.0511,0,0,0,0,0
59,0.0711,0,0,0,0,0
60,0.4541,0,0,0,0,0
61,0.1719,0,0,0,0,0
62,1.1472,0,0,0,0,0
63,1.1682,0,0,0,0,0
64,1.1885,0,0,0,0,0
65,1.1955,0,0,0,0,0
66,1.1668,0,0,0,0,0
67,0.7046,0,0,0,0,0
68,0.6869,1696,27,555745280,0,0
69,1.1807,0,0,0,0,0
70,1.1857,0,0,0,0,0
71,1.2543,0,0,0,0,0
72,1.4219,576,9,188743680,0,0
73,1.3566,112,2,36700160,0,0
74,1.0332,0,0,0,0,0
75,0.0441,0,0,0,0,0
76,0.0268,0,0,0,0,0
77,1.053,0,0,0,0,0
78,1.1967,0,0,0,0,0
79,0.4129,0,0,0,0,0
80,0.5049,640,10,209715200,0,0
81,0.0362,0,0,0,0,0
82,1.3972,448,7,146800640,0,0
83,1.1698,0,0,0,0,0
84,1.2023,0,0,0,0,0
85,0.1466,0,0,0,0,0
86,1.0332,0,0,0,0,0
87,0.0454,0,0,0,0,0
88,1.1772,0,0,0,0,0
89,1.1676,0,0,0,0,0
90,1.0509,0,0,0,0,0
91,0.7104,288,5,94371840,0,0
92,1.1484,0,0,0,0,0
93,0.4218,0,0,0,0,0
94,0.3004,256,4,83886080,0,0
95,0.9266,1984,31,650117120,0,0
96,1.1587,0,0,0,0,0
97,0.0724,0,0,0,0,0
98,0.437,0,0,0,0,0
99,0.8546,0,0,0,0,0
100,0.9669,0,0,0,0,0
101,0.0724,0,0,0,0,0
102,0.1368,0,0,0,0,0
103,1.1658,0,0,0,0,0
104,0.5587,784,13,256901120,0,0
105,1.1495,0,0,0,0,0
106,1.1898,0,0,0,0,0
107,0.6463,1696,27,555745280,0,0
108,1.1666,0,0,0,0,0
109,1.1764,0,0,0,0,0
110,1.1821,0,0,0,0,0
111,0.3477,0,0,0,0,0
112,1.167,0,0,0,0,0
113,0.7728,1872,30,613416960,0,0
114,0.8346,0,0,0,0,0
115,1.1887,0,0,0,0,0
116,1.1782,0,0,0,0,0
117,0.1927,0,0,0,0,0
118,1.1496,0,0,0,0,0
119,1.1645,0,0,0,0,0
120,1.1641,0,0,0,0,0
121,0.2537,0,0,0,0,0
122,1.0893,0,0,0,0,0
123,1.4581,576,9,188743680,0,0
124,1.1769,0,0,0,0,0
125,1.1666,0,0,0,0,0
126,0.8187,1984,31,650117120,0,0
127,1.1809,0,0,0,0,0
128,0.0557,0,0,0,0,0
129,1.187,0,0,0,0,0
130,0.0446,0,0,0,0,0
131,1.2219,224,4,73400320,0,0
132,0.3438,0,0,0,0,0
133,1.1639,0,0,0,0,0
134,1.1737,0,0,0,0,0
135,1.2016,0,0,0,0,0
136,0.177,0,0,0,0,0
137,0.1001,0,0,0,0,0
138,0.0436,0,0,0,0,0
139,1.1557,0,0,0,0,0
140,1.1921,0,0,0,0,0
141,1.1754,0,0,0,0,0
142,0.7804,0,0,0,0,0
143,0.2599,0,0,0,0,0
144,0.9571,0,0,0,0,0
145,1.171,0,0,0,0,0
146,0.9982,0,0,0,0,0
147,1.1868,0,0,0,0,0
148,0.0447,0,0,0,0,0
149,0.0462,0,0,0,0,0
