i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3559,0,0,0,0,0
1,1.154,0,0,0,0,0
2,1.1535,0,0,0,0,0
3,1.178,0,0,0,0,0
4,1.1819,0,0,0,0,0
5,0.0808,0,0,0,0,0
6,0.0514,0,0,0,0,0
7,0.9125,0,0,0,0,0
8,1.1413,0,0,0,0,0
9,1.0024,0,0,0,0,0
10,1.1567,0,0,0,0,0
11,0.4004,0,0,0,0,0
12,1.1096,0,0,0,0,0
13,0.0473,0,0,0,0,0
14,0.029,0,0,0,0,0
15,0.0445,0,0,0,0,0
16,0.138,0,0,0,0,0
17,0.0545,0,0,0,0,0
18,1.1494,0,0,0,0,0
19,0.0804,0,0,0,0,0
20,0.1087,0,0,0,0,0
21,0.4517,0,0,0,0,0
22,1.1456,0,0,0,0,0
23,1.1839,0,0,0,0,0
24,1.1649,0,0,0,0,0
25,0.0509,0,0,0,0,0
26,0.6379,1696,27,555745280,0,0
27,1.0711,0,0,0,0,0
28,0.3367,0,0,0,0,0
29,1.1486,0,0,0,0,0
30,0.0734,0,0,0,0,0
31,0.3104,0,0,0,0,0
32,1.1618,0,0,0,0,0
33,0.0422,0,0,0,0,0
34,1.1629,0,0,0,0,0
35,1.2001,0,0,0,0,0
36,0.7967,0,0,0,0,0
37,0.4351,1696,27,555745280,0,0
38,0.1248,0,0,0,0,0
39,0.0426,0,0,0,0,0
40,0.6016,1712,27,560988160,0,0
41,1.1607,0,0,0,0,0
42,0.2715,0,0,0,0,0
43,1.1649,0,0,0,0,0
44,0.6338,1696,27,555745280,0,0
45,1.158,0,0,0,0,0
46,0.048,0,0,0,0,0
47,0.3067,0,0,0,0,0
48,0.883,0,0,0,0,0
49,0.0719,0,0,0,0,0
50,1.1861,0,0,0,0,0
51,0.0726,0,0,0,0,0
52,1.1713,0,0,0,0,0
53,0.0582,0,0,0,0,0
54,0.0722,0,0,0,0,0
55,1.1731,0,0,0,0,0
56,0.0738,0,0,0,0,0
57,1.1974,0,0,0,0,0
58,0.0505,0,0,0,0,0
59,0.0711,0,0,0,0,0
60,0.4556,0,0,0,0,0
61,0.1772,0,0,0,0,0
62,1.1478,0,0,0,0,0
63,1.1781,0,0,0,0,0
64,1.2015,0,0,0,0,0
65,1.1912,0,0,0,0,0
66,1.1699,0,0,0,0,0
67,0.6878,0,0,0,0,0
68,0.4962,1696,27,555745280,0,0
69,1.1642,0,0,0,0,0
70,1.2004,0,0,0,0,0
71,1.1689,0,0,0,0,0
72,1.3538,576,9,188743680,0,0
73,1.3248,112,2,36700160,0,0
74,1.0485,0,0,0,0,0
75,0.0463,0,0,0,0,0
76,0.0262,0,0,0,0,0
77,1.0565,0,0,0,0,0
78,1.195,0,0,0,0,0
79,0.4233,0,0,0,0,0
80,0.3455,640,10,209715200,0,0
81,0.0395,0,0,0,0,0
82,1.299,448,7,146800640,0,0
83,1.1793,0,0,0,0,0
84,1.1953,0,0,0,0,0
85,0.1498,0,0,0,0,0
86,1.0618,0,0,0,0,0
87,0.0489,0,0,0,0,0
88,1.1876,0,0,0,0,0
89,1.1805,0,0,0,0,0
90,1.0672,0,0,0,0,0
91,0.7016,288,5,94371840,0,0
92,1.1491,0,0,0,0,0
93,0.4332,0,0,0,0,0
94,0.299,256,4,83886080,0,0
95,0.7067,1984,31,650117120,0,0
96,1.167,0,0,0,0,0
97,0.0722,0,0,0,0,0
98,0.4504,0,0,0,0,0
99,0.8597,0,0,0,0,0
100,0.9608,0,0,0,0,0
101,0.0727,0,0,0,0,0
102,0.1333,0,0,0,0,0
103,1.1621,0,0,0,0,0
104,0.515,784,13,256901120,0,0
105,1.1435,0,0,0,0,0
106,1.1908,0,0,0,0,0
107,0.4114,1696,27,555745280,0,0
108,1.1874,0,0,0,0,0
109,1.1657,0,0,0,0,0
110,1.1839,0,0,0,0,0
111,0.3487,0,0,0,0,0
112,1.1642,0,0,0,0,0
113,0.5874,1872,30,613416960,0,0
114,0.841,0,0,0,0,0
115,1.1878,0,0,0,0,0
116,1.1788,0,0,0,0,0
117,0.2006,0,0,0,0,0
118,1.1473,0,0,0,0,0
119,1.1635,0,0,0,0,0
120,1.1833,0,0,0,0,0
121,0.2614,0,0,0,0,0
122,1.0879,0,0,0,0,0
123,1.3754,576,9,188743680,0,0
124,1.1756,0,0,0,0,0
125,1.1693,0,0,0,0,0
126,0.547,1984,31,650117120,0,0
127,1.1819,0,0,0,0,0
128,0.0487,0,0,0,0,0
129,1.1921,0,0,0,0,0
130,0.048,0,0,0,0,0
131,1.2179,224,4,73400320,0,0
132,0.3399,0,0,0,0,0
133,1.1642,0,0,0,0,0
134,1.1681,0,0,0,0,0
135,1.1887,0,0,0,0,0
136,0.1757,0,0,0,0,0
137,0.1,0,0,0,0,0
138,0.0464,0,0,0,0,0
139,1.1585,0,0,0,0,0
140,1.1921,0,0,0,0,0
141,1.1728,0,0,0,0,0
142,0.7869,0,0,0,0,0
143,0.2589,0,0,0,0,0
144,0.956,0,0,0,0,0
145,1.1701,0,0,0,0,0
146,1.0031,0,0,0,0,0
147,1.1662,0,0,0,0,0
148,0.0443,0,0,0,0,0
149,0.0463,0,0,0,0,0
