i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.362,0,0,0,14,293601280
1,2.4883,0,0,0,17,356515840
2,3.3792,0,0,0,31,650117120
3,3.5435,0,0,0,31,650117120
4,1.1598,0,0,0,30,629145600
5,0.0676,0,0,0,0,0
6,0.0444,0,0,0,0,0
7,3.4022,0,0,0,37,775946240
8,1.3782,0,0,0,28,587202560
9,2.2647,0,0,0,30,629145600
10,1.1596,0,0,0,28,587202560
11,2.282,0,0,0,30,629145600
12,1.1037,0,0,0,16,335544320
13,0.0266,0,0,0,0,0
14,0.0276,0,0,0,0,0
15,0.0418,0,0,0,0,0
16,2.1497,0,0,0,13,272629760
17,0.0528,0,0,0,3,62914560
18,1.2051,0,0,0,16,335544320
19,0.0667,0,0,0,0,0
20,3.2494,0,0,0,24,503316480
21,1.0367,0,0,0,16,335544320
22,2.6033,0,0,0,17,356515840
23,1.1596,0,0,0,1,20971520
24,6.5455,0,0,0,60,1258291200
25,0.0256,0,0,0,0,0
26,2.597,1696,27,555745280,14,293601280
27,1.0483,0,0,0,16,335544320
28,3.3584,0,0,0,28,587202560
29,2.5625,0,0,0,16,335544320
30,0.058,0,0,0,0,0
31,3.4636,0,0,0,27,566231040
32,1.1583,0,0,0,8,167772160
33,0.0291,0,0,0,6,125829120
34,4.5493,0,0,0,34,713031680
35,1.163,0,0,0,0,0
36,0.7754,0,0,0,14,293601280
37,7.9944,1696,27,555745280,56,1174405120
38,0.1328,0,0,0,7,146800640
39,0.6558,0,0,0,0,0
40,0.5558,1712,27,560988160,4,83886080
41,1.1577,0,0,0,16,335544320
42,0.2506,0,0,0,0,0
43,1.1576,0,0,0,12,251658240
44,6.4369,1696,27,555745280,45,943718400
45,1.1682,0,0,0,16,335544320
46,0.0343,0,0,0,0,0
47,3.3435,0,0,0,29,608174080
48,2.0687,0,0,0,16,335544320
49,0.0588,0,0,0,0,0
50,1.1662,0,0,0,1,20971520
51,0.0668,0,0,0,0,0
52,5.7551,0,0,0,56,1174405120
53,3.1266,0,0,0,16,335544320
54,0.0688,0,0,0,0,0
55,1.179,0,0,0,16,335544320
56,3.338,0,0,0,19,398458880
57,1.1658,0,0,0,16,335544320
58,0.0411,0,0,0,0,0
59,0.0587,0,0,0,0,0
60,0.431,0,0,0,1,20971520
61,3.2991,0,0,0,33,692060160
62,3.3005,0,0,0,25,524288000
63,4.1891,0,0,0,30,629145600
64,1.1618,0,0,0,0,0
65,6.3908,0,0,0,61,1279262720
66,4.595,0,0,0,31,650117120
67,0.6666,0,0,0,0,0
68,5.1215,1696,27,555745280,37,775946240
69,1.1653,0,0,0,16,335544320
70,1.1593,0,0,0,0,0
71,5.991,0,0,0,61,1279262720
72,4.5281,576,9,188743680,30,629145600
73,3.6637,112,2,36700160,22,461373440
74,1.0291,0,0,0,2,41943040
75,0.0471,0,0,0,1,20971520
76,0.0277,0,0,0,0,0
77,1.0364,0,0,0,13,272629760
