i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.6779,0,0,0,15,314572800
1,2.5259,0,0,0,16,335544320
2,3.4826,0,0,0,31,650117120
3,3.6459,0,0,0,31,650117120
4,1.1829,0,0,0,4,83886080
5,1.2265,0,0,0,44,922746880
6,0.0487,0,0,0,3,62914560
7,0.9808,0,0,0,16,335544320
8,2.9964,0,0,0,28,587202560
9,3.232,0,0,0,30,629145600
10,1.1852,0,0,0,17,356515840
11,2.4995,0,0,0,41,859832320
12,1.1341,0,0,0,16,335544320
13,0.1648,0,0,0,1,20971520
14,0.0315,0,0,0,1,20971520
15,0.0444,0,0,0,0,0
16,2.5461,0,0,0,11,230686720
17,0.0529,0,0,0,3,62914560
18,1.3871,0,0,0,16,335544320
19,0.1635,0,0,0,1,20971520
20,3.1454,0,0,0,23,482344960
21,0.9198,0,0,0,16,335544320
22,2.7046,0,0,0,17,356515840
23,1.2093,0,0,0,4,83886080
24,6.6208,0,0,0,57,1195376640
25,0.1501,0,0,0,1,20971520
26,4.0152,1696,27,555745280,13,272629760
27,1.0534,0,0,0,16,335544320
28,3.2725,0,0,0,28,587202560
29,2.55,0,0,0,16,335544320
30,0.152,0,0,0,1,20971520
31,3.159,0,0,0,26,545259520
32,1.1834,0,0,0,16,335544320
33,0.06,0,0,0,0,0
34,4.7107,0,0,0,32,671088640
35,1.193,0,0,0,4,83886080
36,0.772,0,0,0,11,230686720
37,7.7153,1696,27,555745280,55,1153433600
38,0.13,0,0,0,7,146800640
39,0.7347,0,0,0,0,0
40,0.786,1712,27,560988160,4,83886080
41,1.1622,0,0,0,16,335544320
42,0.2811,0,0,0,1,20971520
43,1.1539,0,0,0,3,62914560
44,6.3784,1696,27,555745280,53,1111490560
45,1.1567,0,0,0,16,335544320
46,0.1523,0,0,0,1,20971520
47,3.4496,0,0,0,28,587202560
48,2.1135,0,0,0,16,335544320
49,0.166,0,0,0,1,20971520
50,1.1569,0,0,0,4,83886080
51,0.0643,0,0,0,0,0
52,5.7749,0,0,0,52,1090519040
53,3.2625,0,0,0,16,335544320
54,0.0745,0,0,0,0,0
55,1.1809,0,0,0,16,335544320
56,3.3367,0,0,0,19,398458880
57,1.1768,0,0,0,16,335544320
58,0.1394,0,0,0,1,20971520
59,0.0582,0,0,0,1,20971520
60,0.4279,0,0,0,2,41943040
61,3.4113,0,0,0,33,692060160
62,3.5834,0,0,0,22,461373440
63,4.479,0,0,0,30,629145600
64,1.1907,0,0,0,4,83886080
65,6.7204,0,0,0,57,1195376640
66,4.4926,0,0,0,31,650117120
67,0.6965,0,0,0,4,83886080
68,5.0388,1696,27,555745280,33,692060160
69,1.1695,0,0,0,16,335544320
70,1.1922,0,0,0,4,83886080
71,5.7422,0,0,0,57,1195376640
72,3.6499,576,9,188743680,30,629145600
73,3.9359,112,2,36700160,22,461373440
74,1.0759,0,0,0,7,146800640
75,0.0334,0,0,0,0,0
76,0.0249,0,0,0,0,0
77,1.0367,0,0,0,12,251658240
78,1.1787,0,0,0,12,251658240
79,7.829,0,0,0,80,1677721600
80,2.3069,640,10,209715200,0,0
81,0.0359,0,0,0,1,20971520
82,1.579,448,7,146800640,16,335544320
83,1.1867,0,0,0,7,146800640
84,1.1626,0,0,0,15,314572800
85,6.2863,0,0,0,54,1132462080
86,1.0525,0,0,0,16,335544320
87,0.0597,0,0,0,0,0
88,1.1601,0,0,0,12,251658240
89,5.0388,0,0,0,41,859832320
90,1.0602,0,0,0,4,83886080
91,5.3199,288,5,94371840,44,922746880
92,1.1688,0,0,0,12,251658240
93,3.7556,0,0,0,34,713031680
94,1.7511,256,4,83886080,0,0
95,1.0055,1984,31,650117120,0,0
96,1.1702,0,0,0,16,335544320
97,0.1651,0,0,0,1,20971520
98,3.2793,0,0,0,29,608174080
99,2.6821,0,0,0,17,356515840
100,0.9767,0,0,0,5,104857600
101,0.064,0,0,0,0,0
102,3.9539,0,0,0,39,817889280
103,1.1954,0,0,0,16,335544320
104,3.5867,784,13,256901120,19,398458880
105,1.151,0,0,0,16,335544320
106,1.2074,0,0,0,7,146800640
107,5.1907,1696,27,555745280,38,796917760
108,1.1824,0,0,0,16,335544320
109,4.2393,0,0,0,31,650117120
110,1.1964,0,0,0,7,146800640
111,5.6047,0,0,0,52,1090519040
112,2.4396,0,0,0,16,335544320
113,3.911,1872,30,613416960,15,314572800
114,0.8297,0,0,0,16,335544320
115,1.2046,0,0,0,8,167772160
116,5.2151,0,0,0,45,943718400
117,0.2103,0,0,0,5,104857600
118,5.0152,0,0,0,37,775946240
119,4.2121,0,0,0,30,629145600
120,1.1912,0,0,0,6,125829120
121,4.8073,0,0,0,48,1006632960
122,2.0916,0,0,0,16,335544320
123,3.7843,576,9,188743680,29,608174080
124,1.1914,0,0,0,7,146800640
125,5.0316,0,0,0,45,943718400
126,3.8614,1984,31,650117120,13,272629760
127,1.1744,0,0,0,16,335544320
128,2.8497,0,0,0,15,314572800
129,1.1689,0,0,0,16,335544320
130,3.2503,0,0,0,16,335544320
131,1.2889,224,4,73400320,16,335544320
132,0.3552,0,0,0,3,62914560
133,3.7706,0,0,0,34,713031680
134,4.1336,0,0,0,31,650117120
135,1.1905,0,0,0,4,83886080
136,5.0543,0,0,0,49,1027604480
137,0.1205,0,0,0,6,125829120
138,1.0934,0,0,0,0,0
139,1.158,0,0,0,16,335544320
140,1.2133,0,0,0,8,167772160
141,3.2139,0,0,0,37,775946240
142,0.7489,0,0,0,14,293601280
143,5.2432,0,0,0,52,1090519040
144,1.9331,0,0,0,15,314572800
145,3.5639,0,0,0,28,587202560
146,3.5075,0,0,0,30,629145600
147,3.0432,0,0,0,28,587202560
148,0.1446,0,0,0,1,20971520
149,2.5448,0,0,0,13,272629760
