i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3631,0,0,0,2,41943040
1,1.7591,0,0,0,13,272629760
2,2.778,0,0,0,31,650117120
3,2.7297,0,0,0,31,650117120
4,1.1619,0,0,0,2,41943040
5,1.4642,0,0,0,25,524288000
6,0.0489,0,0,0,0,0
7,1.815,0,0,0,40,838860800
8,1.3385,0,0,0,28,587202560
9,2.5615,0,0,0,30,629145600
10,1.1574,0,0,0,0,0
11,2.175,0,0,0,59,1237319680
12,1.1093,0,0,0,6,125829120
13,0.0551,0,0,0,2,41943040
14,0.0457,0,0,0,5,104857600
15,0.0429,0,0,0,6,125829120
16,0.4794,0,0,0,20,419430400
17,0.0513,0,0,0,1,20971520
18,1.3484,0,0,0,7,146800640
19,0.0702,0,0,0,2,41943040
20,2.2081,0,0,0,29,608174080
21,0.7353,0,0,0,9,188743680
22,2.0355,0,0,0,17,356515840
23,1.1605,0,0,0,1,20971520
24,5.2007,0,0,0,60,1258291200
25,0.043,0,0,0,2,41943040
26,3.2529,1696,27,555745280,28,587202560
27,1.0657,0,0,0,0,0
28,2.3652,0,0,0,29,608174080
29,1.9478,0,0,0,15,314572800
30,0.0664,0,0,0,2,41943040
31,2.1791,0,0,0,27,566231040
32,1.1591,0,0,0,1,20971520
33,0.044,0,0,0,2,41943040
34,4.2548,0,0,0,42,880803840
35,1.1621,0,0,0,1,20971520
36,0.7742,0,0,0,5,104857600
37,1.1318,1696,27,555745280,23,482344960
38,4.6887,0,0,0,55,1153433600
39,0.5336,0,0,0,6,125829120
40,1.0961,1712,27,560988160,4,83886080
41,1.1614,0,0,0,4,83886080
42,0.255,0,0,0,2,41943040
43,1.1618,0,0,0,4,83886080
44,4.4082,1696,27,555745280,48,1006632960
45,2.5629,0,0,0,19,398458880
46,0.0508,0,0,0,2,41943040
47,2.4749,0,0,0,27,566231040
48,1.9228,0,0,0,16,335544320
49,0.0647,0,0,0,2,41943040
50,1.1568,0,0,0,4,83886080
51,0.0625,0,0,0,2,41943040
52,5.2915,0,0,0,49,1027604480
53,2.2567,0,0,0,26,545259520
54,0.0681,0,0,0,0,0
55,1.163,0,0,0,4,83886080
56,2.5347,0,0,0,29,608174080
57,1.1769,0,0,0,4,83886080
58,0.0477,0,0,0,2,41943040
59,0.0585,0,0,0,0,0
60,0.4314,0,0,0,4,83886080
61,2.2031,0,0,0,27,566231040
62,3.5204,0,0,0,30,629145600
63,3.4191,0,0,0,30,629145600
64,1.1613,0,0,0,1,20971520
65,6.1417,0,0,0,60,1258291200
66,3.5021,0,0,0,31,650117120
67,0.6706,0,0,0,0,0
68,2.7909,1696,27,555745280,28,587202560
69,3.1524,0,0,0,25,524288000
70,1.1596,0,0,0,3,62914560
71,5.8185,0,0,0,58,1216348160
72,3.0583,576,9,188743680,25,524288000
73,3.1599,112,2,36700160,26,545259520
74,1.039,0,0,0,6,125829120
75,0.0516,0,0,0,2,41943040
76,0.027,0,0,0,0,0
77,1.036,0,0,0,4,83886080
78,1.1621,0,0,0,0,0
79,8.1491,0,0,0,100,2097152000
80,2.0354,640,10,209715200,16,335544320
81,0.0403,0,0,0,1,20971520
82,1.4238,448,7,146800640,0,0
83,1.1465,0,0,0,6,125829120
84,1.162,0,0,0,1,20971520
85,7.07,0,0,0,75,1572864000
86,1.0302,0,0,0,3,62914560
87,0.046,0,0,0,2,41943040
88,1.1576,0,0,0,4,83886080
89,5.2815,0,0,0,54,1132462080
90,1.0301,0,0,0,0,0
91,1.0816,288,5,94371840,11,230686720
92,1.1471,0,0,0,1,20971520
93,7.5037,0,0,0,82,1719664640
94,1.9474,256,4,83886080,16,335544320
95,0.7595,1984,31,650117120,0,0
96,1.1707,0,0,0,0,0
97,0.0647,0,0,0,2,41943040
98,2.7277,0,0,0,28,587202560
99,1.941,0,0,0,17,356515840
100,0.9298,0,0,0,0,0
101,0.0641,0,0,0,2,41943040
102,4.6797,0,0,0,48,1006632960
103,1.1652,0,0,0,3,62914560
104,3.9846,784,13,256901120,38,796917760
105,1.148,0,0,0,4,83886080
106,1.1623,0,0,0,2,41943040
107,2.359,1696,27,555745280,23,482344960
108,1.1646,0,0,0,4,83886080
109,6.7298,0,0,0,63,1321205760
110,1.1608,0,0,0,3,62914560
111,5.3199,0,0,0,57,1195376640
112,2.1837,0,0,0,15,314572800
113,3.5726,1872,30,613416960,31,650117120
114,0.8338,0,0,0,0,0
115,1.16,0,0,0,6,125829120
116,5.4917,0,0,0,50,1048576000
117,0.1789,0,0,0,0,0
118,4.387,0,0,0,39,817889280
119,3.3833,0,0,0,30,629145600
120,1.1473,0,0,0,1,20971520
121,5.4622,0,0,0,56,1174405120
122,1.9499,0,0,0,13,272629760
123,3.2109,576,9,188743680,28,587202560
124,1.1586,0,0,0,6,125829120
125,5.3061,0,0,0,47,985661440
126,2.8089,1984,31,650117120,27,566231040
127,1.1687,0,0,0,2,41943040
128,2.5824,0,0,0,28,587202560
129,1.1736,0,0,0,3,62914560
130,2.5872,0,0,0,27,566231040
131,1.8448,224,4,73400320,5,104857600
132,0.3249,0,0,0,5,104857600
133,4.0585,0,0,0,32,671088640
134,3.8039,0,0,0,31,650117120
135,1.1627,0,0,0,1,20971520
136,5.5754,0,0,0,57,1195376640
137,0.102,0,0,0,1,20971520
138,1.0903,0,0,0,12,251658240
139,1.1567,0,0,0,4,83886080
140,1.1622,0,0,0,0,0
