i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3594,0,0,0,2,41943040
1,1.1408,0,0,0,4,83886080
2,1.1423,0,0,0,1,20971520
3,1.1274,0,0,0,5,104857600
4,1.143,0,0,0,1,20971520
5,0.0709,0,0,0,2,41943040
6,0.0481,0,0,0,0,0
7,0.9073,0,0,0,4,83886080
8,1.1399,0,0,0,2,41943040
9,0.977,0,0,0,6,125829120
10,1.1533,0,0,0,3,62914560
11,0.3736,0,0,0,3,62914560
12,1.1017,0,0,0,3,62914560
13,0.0437,0,0,0,2,41943040
14,0.0286,0,0,0,0,0
15,0.0417,0,0,0,0,0
16,0.1184,0,0,0,3,62914560
17,0.0511,0,0,0,3,62914560
18,1.1347,0,0,0,3,62914560
19,0.0698,0,0,0,2,41943040
20,0.0988,0,0,0,2,41943040
21,0.4395,0,0,0,3,62914560
22,1.1357,0,0,0,2,41943040
23,1.1476,0,0,0,4,83886080
24,1.1352,0,0,0,2,41943040
25,0.0439,0,0,0,2,41943040
26,1.0936,0,0,0,2,41943040
27,1.0328,0,0,0,2,41943040
28,0.3199,0,0,0,4,83886080
29,1.1356,0,0,0,6,125829120
30,0.0641,0,0,0,2,41943040
31,0.304,0,0,0,4,83886080
32,1.1532,0,0,0,0,0
33,0.0428,0,0,0,2,41943040
34,1.1431,0,0,0,4,83886080
35,1.1603,0,0,0,0,0
36,0.7773,0,0,0,6,125829120
37,1.1399,224,4,73400320,0,0
38,0.1189,0,0,0,6,125829120
39,0.0558,0,0,0,0,0
40,1.1861,112,2,36700160,0,0
41,1.1576,0,0,0,6,125829120
42,0.2551,0,0,0,0,0
43,1.1587,0,0,0,6,125829120
44,1.3497,288,5,94371840,0,0
45,1.1466,0,0,0,6,125829120
46,0.0499,0,0,0,2,41943040
47,0.2939,0,0,0,0,0
48,0.8876,0,0,0,6,125829120
49,0.065,0,0,0,2,41943040
50,1.1582,0,0,0,4,83886080
51,0.0661,0,0,0,1,20971520
52,1.1581,0,0,0,5,104857600
53,0.0478,0,0,0,1,20971520
54,0.0586,0,0,0,2,41943040
55,1.1576,0,0,0,4,83886080
56,0.0656,0,0,0,0,0
57,1.1593,0,0,0,4,83886080
58,0.0465,0,0,0,2,41943040
59,0.0587,0,0,0,2,41943040
60,0.4309,0,0,0,4,83886080
61,0.1608,0,0,0,2,41943040
62,1.1484,0,0,0,4,83886080
63,1.1467,0,0,0,2,41943040
64,1.1579,0,0,0,4,83886080
65,1.1614,0,0,0,2,41943040
66,1.1471,0,0,0,6,125829120
67,0.6699,0,0,0,3,62914560
68,1.1023,928,15,304087040,3,62914560
69,1.1573,0,0,0,6,125829120
70,1.157,0,0,0,0,0
71,1.1444,0,0,0,6,125829120
72,1.1554,0,0,0,0,0
73,1.3053,112,2,36700160,6,125829120
74,1.027,0,0,0,6,125829120
75,0.0441,0,0,0,0,0
76,0.0272,0,0,0,0,0
77,1.0337,0,0,0,0,0
78,1.1583,0,0,0,6,125829120
79,0.3904,0,0,0,0,0
80,1.0287,256,4,83886080,6,125829120
81,0.0423,0,0,0,2,41943040
82,1.678,384,6,125829120,4,83886080
83,1.1439,0,0,0,6,125829120
84,1.1566,0,0,0,0,0
85,0.132,0,0,0,4,83886080
86,1.0277,0,0,0,2,41943040
87,0.0445,0,0,0,2,41943040
88,1.1518,0,0,0,0,0
89,1.1461,0,0,0,4,83886080
90,1.0243,0,0,0,2,41943040
91,0.6611,0,0,0,4,83886080
92,1.1426,0,0,0,2,41943040
93,0.4007,0,0,0,4,83886080
94,0.3334,0,0,0,5,104857600
95,0.8921,1984,31,650117120,1,20971520
96,1.1437,0,0,0,0,0
97,0.0627,0,0,0,2,41943040
98,0.4219,0,0,0,4,83886080
99,0.83,0,0,0,0,0
100,0.9291,0,0,0,6,125829120
101,0.0634,0,0,0,0,0
102,0.1173,0,0,0,2,41943040
103,1.1588,0,0,0,4,83886080
104,0.4455,0,0,0,2,41943040
105,1.1454,0,0,0,4,83886080
106,1.1588,0,0,0,3,62914560
107,0.9677,1184,19,387973120,3,62914560
108,1.1572,0,0,0,6,125829120
109,1.145,0,0,0,0,0
110,1.1573,0,0,0,6,125829120
111,0.3248,0,0,0,0,0
112,1.1606,0,0,0,6,125829120
113,1.4058,80,2,26214400,2,41943040
114,0.8195,0,0,0,6,125829120
115,1.1559,0,0,0,0,0
116,1.1598,0,0,0,6,125829120
117,0.1788,0,0,0,0,0
118,1.1456,0,0,0,6,125829120
119,1.1439,0,0,0,0,0
120,1.1452,0,0,0,6,125829120
121,0.237,0,0,0,0,0
122,1.0853,0,0,0,6,125829120
123,1.5793,576,9,188743680,0,0
124,1.1437,0,0,0,6,125829120
125,1.1441,0,0,0,0,0
126,1.1088,1984,31,650117120,6,125829120
127,1.1561,0,0,0,0,0
128,0.0452,0,0,0,4,83886080
129,1.1535,0,0,0,2,41943040
130,0.0431,0,0,0,2,41943040
131,1.4965,224,4,73400320,4,83886080
132,0.324,0,0,0,5,104857600
133,1.1595,0,0,0,1,20971520
134,1.1454,0,0,0,5,104857600
135,1.1578,0,0,0,1,20971520
136,0.1566,0,0,0,4,83886080
137,0.0996,0,0,0,2,41943040
138,0.0449,0,0,0,1,20971520
139,1.1538,0,0,0,2,41943040
140,1.1589,0,0,0,2,41943040
141,1.1443,0,0,0,4,83886080
142,0.7485,0,0,0,2,41943040
143,0.2381,0,0,0,4,83886080
144,0.9569,0,0,0,2,41943040
145,1.149,0,0,0,4,83886080
146,0.986,0,0,0,2,41943040
147,1.1488,0,0,0,4,83886080
148,0.0433,0,0,0,2,41943040
149,0.0258,0,0,0,0,0
150,1.1442,0,0,0,3,62914560
151,0.0922,0,0,0,1,20971520
152,1.161,0,0,0,5,104857600
153,0.2443,0,0,0,1,20971520
154,1.1508,0,0,0,5,104857600
155,1.1486,0,0,0,1,20971520
156,1.1634,0,0,0,5,104857600
157,0.7765,1984,31,650117120,1,20971520
158,0.0633,0,0,0,0,0
159,0.2122,0,0,0,0,0
160,1.1425,0,0,0,6,125829120
161,0.0647,0,0,0,2,41943040
162,1.1429,0,0,0,1,20971520
163,0.8699,1568,25,513802240,3,62914560
164,1.1421,0,0,0,2,41943040
165,1.144,0,0,0,4,83886080
166,0.088,0,0,0,2,41943040
167,0.0422,0,0,0,2,41943040
168,1.1348,0,0,0,2,41943040
169,0.0473,0,0,0,2,41943040
170,1.1412,0,0,0,3,62914560
171,1.1786,352,6,115343360,1,20971520
172,0.0507,0,0,0,2,41943040
173,1.1382,0,0,0,4,83886080
174,0.5669,0,0,0,0,0
175,0.1187,0,0,0,3,62914560
176,0.2763,0,0,0,3,62914560
177,1.1571,0,0,0,2,41943040
178,1.3527,112,2,36700160,4,83886080
179,1.1512,0,0,0,6,125829120
180,1.0765,1216,19,398458880,0,0
181,0.9914,1696,27,555745280,6,125829120
182,1.3495,464,8,152043520,0,0
183,1.1462,0,0,0,6,125829120
184,1.1508,0,0,0,0,0
185,1.0597,1696,27,555745280,6,125829120
186,1.1502,0,0,0,0,0
187,0.0639,0,0,0,2,41943040
188,1.148,0,0,0,4,83886080
189,1.1636,0,0,0,0,0
190,1.3256,736,12,241172480,6,125829120
191,0.0636,0,0,0,2,41943040
192,1.1494,0,0,0,4,83886080
193,0.0444,0,0,0,1,20971520
194,1.1571,0,0,0,0,0
195,1.1645,0,0,0,6,125829120
196,1.1506,0,0,0,0,0
197,1.1651,0,0,0,6,125829120
198,1.1523,0,0,0,0,0
199,1.6757,576,9,188743680,6,125829120
200,1.3896,1600,25,524288000,6,125829120
201,1.1638,0,0,0,6,125829120
202,1.1517,0,0,0,0,0
203,1.1646,0,0,0,6,125829120
204,1.1506,0,0,0,0,0
205,1.1587,1984,31,650117120,6,125829120
206,1.1611,0,0,0,0,0
207,1.1504,0,0,0,6,125829120
208,0.8,0,0,0,0,0
209,1.1599,0,0,0,6,125829120
210,1.1602,0,0,0,0,0
211,1.161,0,0,0,6,125829120
212,0.9673,1696,27,555745280,2,41943040
213,0.049,0,0,0,0,0
214,1.1286,1984,31,650117120,3,62914560
215,0.3697,0,0,0,0,0
216,1.518,112,2,36700160,6,125829120
217,1.1427,0,0,0,6,125829120
218,1.2287,192,3,62914560,0,0
219,0.2581,0,0,0,6,125829120
220,1.2629,208,4,68157440,0,0
221,0.0625,0,0,0,2,41943040
222,1.139,0,0,0,4,83886080
223,0.14,0,0,0,0,0
224,0.7353,0,0,0,6,125829120
225,1.1555,0,0,0,0,0
226,1.4273,848,14,277872640,6,125829120
227,1.2362,1376,22,450887680,6,125829120
228,1.0842,0,0,0,5,104857600
229,0.1728,0,0,0,1,20971520
230,1.097,0,0,0,5,104857600
231,0.0456,0,0,0,2,41943040
232,1.1519,0,0,0,1,20971520
233,1.1432,0,0,0,3,62914560
234,0.853,1696,27,555745280,3,62914560
235,1.1526,0,0,0,0,0
236,0.0637,0,0,0,2,41943040
237,0.0415,0,0,0,0,0
238,0.3854,0,0,0,4,83886080
239,0.1551,0,0,0,2,41943040
240,1.1426,0,0,0,4,83886080
241,1.4386,576,9,188743680,2,41943040
242,1.6163,80,2,26214400,6,125829120
243,1.1552,0,0,0,6,125829120
244,1.2759,400,7,131072000,0,0
245,1.1552,0,0,0,6,125829120
246,0.3207,0,0,0,0,0
247,0.0628,0,0,0,2,41943040
248,0.0402,0,0,0,0,0
249,1.2598,496,8,162529280,4,83886080
250,0.6964,0,0,0,6,125829120
251,0.6347,1696,27,555745280,0,0
252,1.1412,0,0,0,0,0
253,0.4249,0,0,0,6,125829120
254,0.043,0,0,0,1,20971520
255,0.0586,0,0,0,0,0
256,1.1413,0,0,0,0,0
257,0.2617,0,0,0,6,125829120
258,1.1418,0,0,0,0,0
259,1.1551,0,0,0,6,125829120
260,1.2709,576,9,188743680,0,0
261,1.5495,384,6,125829120,6,125829120
262,0.0428,0,0,0,2,41943040
263,1.4095,1984,31,650117120,4,83886080
264,1.1538,0,0,0,0,0
265,1.0256,0,0,0,6,125829120
266,1.1428,0,0,0,0,0
267,1.3115,336,6,110100480,6,125829120
268,1.1679,1984,31,650117120,6,125829120
269,0.0377,0,0,0,0,0
270,1.1378,0,0,0,1,20971520
271,1.428,208,4,68157440,5,104857600
