i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.4122,0,0,0,0,0
1,1.1844,0,0,0,22,115343360
2,1.1809,0,0,0,57,298844160
3,1.1826,0,0,0,129,676331520
4,1.1756,0,0,0,46,241172480
5,0.1269,0,0,0,0,0
6,0.0469,0,0,0,0,0
7,0.9219,0,0,0,123,644874240
8,1.1769,0,0,0,213,1116733440
9,0.996,0,0,0,94,492830720
10,1.1769,0,0,0,151,791674880
11,0.3919,0,0,0,15,78643200
12,1.115,0,0,0,95,498073600
13,0.0617,0,0,0,4,20971520
14,0.0292,0,0,0,5,26214400
15,0.0436,0,0,0,1,5242880
16,0.1004,16,0,0,1,5242880
17,0.0468,0,0,0,5,26214400
18,1.1431,0,0,0,76,398458880
19,0.0773,0,0,0,3,15728640
20,0.5684,0,0,0,48,251658240
21,0.4437,0,0,0,26,136314880
22,1.1545,0,0,0,71,372244480
23,1.1731,0,0,0,85,445644800
24,1.1454,0,0,0,82,429916160
25,0.0446,0,0,0,0,0
26,0.0861,1744,0,0,10,52428800
27,1.0457,0,0,0,73,382730240
28,0.7198,0,0,0,49,256901120
29,1.1989,0,0,0,63,330301440
30,0.0489,16,0,0,0,0
31,0.3062,0,0,0,34,178257920
32,1.1726,0,0,0,72,377487360
33,0.0462,32,0,0,0,0
34,1.1551,0,0,0,73,382730240
35,1.7724,0,0,0,112,587202560
36,0.7767,0,0,0,50,262144000
37,1.6611,1744,44,230686720,77,403701760
38,0.1187,0,0,0,9,47185920
39,0.038,0,0,0,3,15728640
40,3.2649,1760,110,576716800,147,770703360
41,1.1705,0,0,0,60,314572800
42,0.2738,0,0,0,10,52428800
43,1.1959,0,0,0,64,335544320
44,2.3355,1744,109,571473920,106,555745280
45,1.156,0,0,0,53,277872640
46,0.7199,32,2,10485760,35,183500800
47,0.2981,0,0,0,14,73400320
48,0.887,0,0,0,43,225443840
49,0.0474,16,0,0,1,5242880
50,2.9451,0,0,0,135,707788800
51,0.5498,16,1,5242880,37,193986560
52,1.1686,0,0,0,60,314572800
53,0.047,0,0,0,0,0
54,0.0477,16,0,0,0,0
55,1.179,0,0,0,53,277872640
56,0.0665,0,0,0,6,31457280
57,1.8166,0,0,0,91,477102080
58,0.0461,0,0,0,0,0
59,0.0409,16,0,0,4,20971520
60,0.4561,0,0,0,27,141557760
61,0.1627,0,0,0,4,20971520
62,1.2572,0,0,0,64,335544320
63,1.1975,0,0,0,58,304087040
64,2.065,0,0,0,95,498073600
65,1.1604,0,0,0,53,277872640
66,1.1745,0,0,0,55,288358400
67,0.6724,0,0,0,28,146800640
68,2.3842,1744,109,571473920,90,471859200
69,1.1782,16,0,0,45,235929600
70,1.1687,0,0,0,55,288358400
71,1.1519,0,0,0,56,293601280
72,3.2804,592,37,193986560,138,723517440
73,1.7881,144,9,47185920,95,498073600
74,1.8118,0,0,0,86,450887680
75,0.0416,0,0,0,0,0
76,0.0308,0,0,0,0,0
77,1.037,0,0,0,63,330301440
78,1.1742,0,0,0,60,314572800
79,0.3943,0,0,0,19,99614720
80,1.7053,688,43,225443840,77,403701760
81,1.0141,32,2,10485760,41,214958080
82,2.8502,480,30,157286400,104,545259520
83,1.1518,0,0,0,36,188743680
84,1.1682,0,0,0,76,398458880
85,0.1335,0,0,0,8,41943040
86,1.085,0,0,0,52,272629760
87,0.0344,0,0,0,2,10485760
88,3.578,0,0,0,161,844103680
89,1.8274,16,1,5242880,77,403701760
90,1.0347,0,0,0,45,235929600
91,1.803,304,19,99614720,79,414187520
92,1.1481,0,0,0,46,241172480
93,0.4027,0,0,0,24,125829120
94,0.051,304,0,0,0,0
95,4.0574,2032,127,665845760,147,770703360
96,1.5107,0,0,0,69,361758720
97,0.0462,16,0,0,1,5242880
98,2.1334,0,0,0,87,456130560
99,0.8336,0,0,0,41,214958080
100,0.9346,0,0,0,46,241172480
101,0.0456,16,0,0,2,10485760
102,0.1238,0,0,0,3,15728640
103,1.1621,0,0,0,52,272629760
104,2.2956,800,50,262144000,90,471859200
105,1.15,0,0,0,43,225443840
106,3.0818,0,0,0,142,744488960
107,2.7987,1744,109,571473920,109,571473920
108,1.1759,0,0,0,53,277872640
109,2.4893,0,0,0,142,744488960
110,1.1664,0,0,0,56,293601280
111,0.332,0,0,0,13,68157440
112,1.1827,0,0,0,52,272629760
113,3.984,1920,120,629145600,150,786432000
114,0.8748,0,0,0,33,173015040
115,1.1892,0,0,0,57,298844160
116,2.1201,16,1,5242880,84,440401920
117,0.1803,0,0,0,3,15728640
118,1.1501,0,0,0,53,277872640
119,2.1188,16,1,5242880,83,435159040
120,1.1521,0,0,0,68,356515840
121,0.2401,0,0,0,11,57671680
122,1.102,0,0,0,57,298844160
123,2.5346,592,37,193986560,105,550502400
124,1.6228,0,0,0,69,361758720
125,1.7926,16,1,5242880,83,435159040
126,3.5547,2032,127,665845760,143,749731840
127,2.5378,16,1,5242880,131,686817280
128,0.0463,0,0,0,1,5242880
129,2.2708,0,0,0,115,602931200
130,0.0466,0,0,0,1,5242880
131,2.0569,256,16,83886080,90,471859200
132,0.3327,0,0,0,16,83886080
133,1.1695,0,0,0,51,267386880
134,1.1496,0,0,0,52,272629760
135,1.1619,0,0,0,52,272629760
136,1.3722,0,0,0,57,298844160
137,0.0996,0,0,0,5,26214400
138,0.0398,0,0,0,1,5242880
139,1.1633,0,0,0,42,220200960
140,1.1774,0,0,0,56,293601280
141,1.2055,0,0,0,63,330301440
142,0.7516,0,0,0,30,157286400
143,0.2392,0,0,0,5,26214400
144,0.9599,0,0,0,53,277872640
145,1.1512,0,0,0,46,241172480
146,0.9941,0,0,0,54,283115520
147,1.9156,16,1,5242880,81,424673280
148,0.0436,0,0,0,7,36700160
149,0.0266,0,0,0,2,10485760
