i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.4091,0,0,0,0,0
1,1.6142,0,0,0,9,754974720
2,2.9534,0,0,0,6,503316480
3,3.3484,0,0,0,7,587202560
4,1.1535,0,0,0,1,83886080
5,1.3783,0,0,0,1,83886080
6,0.0911,0,0,0,0,0
7,0.9113,0,0,0,7,587202560
8,2.5867,0,0,0,1,83886080
9,2.6937,0,0,0,5,419430400
10,2.1539,0,0,0,4,335544320
11,2.4086,0,0,0,5,419430400
12,1.1048,0,0,0,5,419430400
13,0.9021,0,0,0,1,83886080
14,0.0284,0,0,0,0,0
15,0.0416,0,0,0,0,0
16,1.4477,0,0,0,0,0
17,0.0497,0,0,0,0,0
18,1.1344,0,0,0,6,503316480
19,2.8819,0,0,0,2,167772160
20,0.4515,0,0,0,1,83886080
21,0.8191,0,0,0,4,335544320
22,2.6311,0,0,0,7,587202560
23,3.832,0,0,0,7,587202560
24,3.7099,0,0,0,1,83886080
25,2.7854,0,0,0,6,503316480
26,0.6168,1504,6,492830720,0,0
27,1.0372,0,0,0,0,0
28,2.6487,0,0,0,8,671088640
29,2.0918,0,0,0,7,587202560
30,0.0655,0,0,0,0,0
31,2.7612,0,0,0,0,0
32,2.2415,0,0,0,5,419430400
33,0.0496,0,0,0,1,83886080
34,3.7612,0,0,0,3,251658240
35,1.1568,0,0,0,0,0
36,2.763,0,0,0,6,503316480
37,3.6381,1504,6,492830720,0,0
38,0.1173,0,0,0,1,83886080
39,0.3564,0,0,0,0,0
40,1.012,1520,6,498073600,1,83886080
41,1.1503,0,0,0,5,419430400
42,0.2552,0,0,0,3,251658240
43,4.5126,0,0,0,4,335544320
44,2.0594,1504,6,492830720,3,251658240
45,1.7087,0,0,0,2,167772160
46,0.053,0,0,0,5,419430400
47,2.4899,0,0,0,3,251658240
48,1.8678,0,0,0,5,419430400
49,0.0645,0,0,0,1,83886080
50,3.1551,0,0,0,3,251658240
51,0.0664,0,0,0,1,83886080
52,3.6224,0,0,0,7,587202560
53,2.6877,0,0,0,0,0
54,0.0684,0,0,0,0,0
55,1.1634,0,0,0,1,83886080
56,1.261,0,0,0,3,251658240
57,1.2689,0,0,0,6,503316480
58,0.0594,0,0,0,1,83886080
59,0.06,0,0,0,0,0
60,0.4282,0,0,0,4,335544320
61,3.4339,0,0,0,2,167772160
62,1.8784,0,0,0,1,83886080
63,3.6995,0,0,0,8,671088640
64,3.6772,0,0,0,7,587202560
65,3.5369,0,0,0,2,167772160
66,3.3886,0,0,0,7,587202560
67,3.5051,0,0,0,5,419430400
68,2.5774,1504,6,492830720,0,0
69,1.1493,0,0,0,3,251658240
70,3.5417,0,0,0,1,83886080
71,3.7826,0,0,0,1,83886080
72,3.7253,512,2,167772160,7,587202560
73,1.1552,0,0,0,7,587202560
74,2.6827,0,0,0,1,83886080
75,2.5956,0,0,0,4,335544320
76,0.043,0,0,0,0,0
77,1.0452,0,0,0,3,251658240
78,3.7074,0,0,0,7,587202560
79,2.9986,0,0,0,4,335544320
80,2.0648,448,2,146800640,0,0
81,0.0409,0,0,0,0,0
82,1.1814,256,1,83886080,4,335544320
83,1.1387,0,0,0,6,503316480
84,5.5894,0,0,0,6,503316480
85,3.0731,0,0,0,2,167772160
86,1.0406,0,0,0,5,419430400
87,0.047,0,0,0,0,0
88,1.1471,0,0,0,2,167772160
89,4.1026,0,0,0,2,167772160
90,1.0312,0,0,0,6,503316480
91,3.3789,288,2,94371840,3,251658240
92,2.6749,0,0,0,4,335544320
93,3.2552,0,0,0,5,419430400
94,0.3323,0,0,0,0,0
95,3.9239,1792,7,587202560,0,0
96,1.1406,0,0,0,5,419430400
97,0.0677,0,0,0,2,167772160
98,2.0488,0,0,0,4,335544320
99,2.036,0,0,0,1,83886080
100,2.8149,0,0,0,1,83886080
101,0.0703,0,0,0,7,587202560
102,2.4907,0,0,0,0,0
103,1.8408,0,0,0,5,419430400
104,2.9658,656,3,214958080,0,0
105,1.1395,0,0,0,7,587202560
106,1.1549,0,0,0,6,503316480
107,4.7593,1504,6,492830720,1,83886080
108,1.1522,0,0,0,6,503316480
109,3.5937,0,0,0,6,503316480
110,3.5319,0,0,0,5,419430400
111,2.7234,0,0,0,3,251658240
112,2.0284,0,0,0,1,83886080
113,3.345,1680,7,550502400,6,503316480
114,0.8134,0,0,0,1,83886080
115,3.1312,0,0,0,8,671088640
116,2.6942,0,0,0,3,251658240
117,2.2959,0,0,0,3,251658240
118,1.712,0,0,0,7,587202560
119,3.4703,0,0,0,7,587202560
120,3.6776,0,0,0,4,335544320
121,2.7274,0,0,0,5,419430400
122,2.1401,0,0,0,0,0
123,3.6803,512,2,167772160,7,587202560
124,1.1432,0,0,0,7,587202560
125,4.6113,0,0,0,5,419430400
126,3.7271,1792,7,587202560,2,167772160
127,1.1523,0,0,0,5,419430400
128,2.269,0,0,0,2,167772160
129,1.1683,0,0,0,2,167772160
130,2.8089,0,0,0,5,419430400
131,1.1127,0,0,0,4,335544320
132,0.3263,0,0,0,3,251658240
133,3.6057,0,0,0,3,251658240
134,3.7412,0,0,0,2,167772160
135,3.825,0,0,0,6,503316480
136,2.4267,0,0,0,3,251658240
137,0.7289,0,0,0,1,83886080
138,0.3604,0,0,0,0,0
139,1.1549,0,0,0,7,587202560
140,1.1573,0,0,0,1,83886080
141,4.0891,0,0,0,3,251658240
142,3.3766,0,0,0,2,167772160
143,2.4367,0,0,0,6,503316480
144,1.8521,0,0,0,7,587202560
145,3.5872,0,0,0,1,83886080
146,3.3545,0,0,0,3,251658240
147,3.5728,0,0,0,8,671088640
148,2.2906,0,0,0,0,0
149,0.0269,0,0,0,0,0
