i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3994,0,0,0,0,0
1,1.4934,0,0,0,3,251658240
2,2.5478,0,0,0,7,587202560
3,2.9374,0,0,0,7,587202560
4,1.1509,0,0,0,1,83886080
5,1.3996,0,0,0,6,503316480
6,0.9462,0,0,0,8,671088640
7,0.9266,0,0,0,0,0
8,1.7412,0,0,0,7,587202560
9,2.2188,0,0,0,7,587202560
10,1.3525,0,0,0,7,587202560
11,1.4107,0,0,0,7,587202560
12,1.0981,0,0,0,0,0
13,0.6009,0,0,0,4,335544320
14,0.028,0,0,0,0,0
15,0.0411,0,0,0,0,0
16,0.8117,0,0,0,6,503316480
17,0.0484,0,0,0,0,0
18,1.134,0,0,0,0,0
19,0.7032,0,0,0,7,587202560
20,0.0989,0,0,0,1,83886080
21,0.4415,0,0,0,1,83886080
22,1.4977,0,0,0,4,335544320
23,2.6005,0,0,0,7,587202560
24,2.5583,0,0,0,7,587202560
25,1.6227,0,0,0,7,587202560
26,0.8972,1504,6,492830720,0,0
27,1.045,0,0,0,0,0
28,1.9018,0,0,0,7,587202560
29,1.9234,0,0,0,3,251658240
30,0.0653,0,0,0,2,167772160
31,1.8106,0,0,0,5,419430400
32,1.5116,0,0,0,3,251658240
33,0.0423,0,0,0,1,83886080
34,2.7898,0,0,0,6,503316480
35,1.1574,0,0,0,0,0
36,2.0538,0,0,0,7,587202560
37,1.5229,1504,6,492830720,4,335544320
38,2.3522,0,0,0,9,754974720
39,0.2987,0,0,0,1,83886080
40,1.1669,1520,6,498073600,0,0
41,1.159,0,0,0,1,83886080
42,0.2551,0,0,0,1,83886080
43,3.8527,0,0,0,9,754974720
44,2.693,1504,6,492830720,7,587202560
45,1.1466,0,0,0,0,0
46,0.0433,0,0,0,2,167772160
47,1.74,0,0,0,5,419430400
48,1.4427,0,0,0,3,251658240
49,0.0645,0,0,0,1,83886080
50,2.4503,0,0,0,5,419430400
51,0.0646,0,0,0,1,83886080
52,1.9253,0,0,0,6,503316480
53,1.6542,0,0,0,7,587202560
54,0.0617,0,0,0,0,0
55,1.1537,0,0,0,0,0
56,1.7667,0,0,0,7,587202560
57,1.4607,0,0,0,1,83886080
58,0.0491,0,0,0,1,83886080
59,0.058,0,0,0,1,83886080
60,0.4294,0,0,0,0,0
61,1.6556,0,0,0,5,419430400
62,2.9878,0,0,0,6,503316480
63,3.0586,0,0,0,7,587202560
64,3.0948,0,0,0,7,587202560
65,2.8721,0,0,0,7,587202560
66,2.754,0,0,0,7,587202560
67,2.0425,0,0,0,7,587202560
68,1.9908,1504,6,492830720,5,419430400
69,1.1582,0,0,0,0,0
70,3.1084,0,0,0,7,587202560
71,2.4752,0,0,0,7,587202560
72,3.1399,512,2,167772160,7,587202560
73,1.1596,0,0,0,2,167772160
74,1.3422,0,0,0,3,251658240
75,1.6863,0,0,0,7,587202560
76,0.0273,0,0,0,0,0
77,1.0334,0,0,0,0,0
78,4.6401,0,0,0,12,1006632960
