i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3508,0,0,0,0,0
1,1.1244,0,0,0,0,0
2,1.1295,0,0,0,0,0
3,1.1113,0,0,0,0,0
4,1.1295,0,0,0,0,0
5,0.0705,0,0,0,0,0
6,0.0474,0,0,0,0,0
7,0.885,0,0,0,0,0
8,1.1122,0,0,0,0,0
9,0.9533,0,0,0,0,0
10,1.1282,0,0,0,0,0
11,0.3657,0,0,0,0,0
12,1.0803,0,0,0,0,0
13,0.0446,0,0,0,0,0
14,0.0283,0,0,0,0,0
15,0.0412,0,0,0,0,0
16,0.1172,0,0,0,0,0
17,0.0457,0,0,0,0,0
18,1.1211,0,0,0,0,0
19,0.0694,0,0,0,0,0
20,0.0979,0,0,0,0,0
21,0.4345,0,0,0,0,0
22,1.123,0,0,0,0,0
23,1.1415,0,0,0,0,0
24,1.1236,0,0,0,0,0
25,0.0442,0,0,0,0,0
26,1.0814,0,0,0,0,0
27,1.0249,0,0,0,0,0
28,0.3172,0,0,0,0,0
29,1.124,0,0,0,0,0
30,0.0644,0,0,0,0,0
31,0.302,0,0,0,0,0
32,1.1389,0,0,0,0,0
33,0.0417,0,0,0,0,0
34,1.1184,0,0,0,0,0
35,1.1377,0,0,0,0,0
36,0.7547,0,0,0,0,0
37,1.0885,0,0,0,0,0
38,0.1179,0,0,0,0,0
39,0.0412,0,0,0,0,0
